Course Name,Course Provider,Course Description,# of Students Enrolled,# of Ratings
"Dasar-dasar Analitik Data: Data, Data di Mana-mana",Google,Offered by Google. Ini adalah materi pertama dalam program Sertifikasi Data Analitik Google. Materi ini akan membekali Anda dengan ,"9,172",240
"Foundations: Data, Data, Everywhere",Google,Offered by Google. This is the first course in the Google Data Analytics Certificate. These courses will equip you with the skills you need ,"1,320,380",13827
Python Data Structures,University of Michigan,Offered by University of Michigan. This course will introduce the core data structures of the Python programming language. We will move past ,"905,624",16204
Data Science,Johns Hopkins University,"Offered by Johns Hopkins University. Launch Your Career in Data Science. A ten-course introduction to data science, developed and taught by ","469,774","38,366"
Data Science: Foundations using R,Johns Hopkins University,Offered by Johns Hopkins University.  Enroll for free.,"94,013","5,743"
The Data Scientist’s Toolbox,Johns Hopkins University,Offered by Johns Hopkins University. In this course you will get an introduction to the main tools and ideas in the data scientist's ,"699,859",7166
Excel Skills for Business,Macquarie University,Offered by Macquarie University. Learn Excel Skills for Business. Master Excel to add a highly valuable asset to your employability portfolio.  Enroll for free.,"432,723","41,035"
Excel Skills for Business: Intermediate I,Macquarie University,Offered by Macquarie University. Spreadsheet software remains one of the most ubiquitous pieces of software used in workplaces across the ,"278,662",3546
Python Data Structures,University of Michigan,Offered by University of Michigan. This course will introduce the core data structures of the Python programming language. We will move past ,"905,624",16204
"Fundamentos: dados, dados, em todos os lugares",Google,Offered by Google. Este é o primeiro curso do Certificado de análise de dados do Google. Estes cursos darão a você as habilidades ,"16,118",213
Maestría en Inteligencia Analítica de Datos,Universidad de los Andes,,0,0.0
Mathematics for Machine Learning,Imperial College London,Offered by Imperial College London.  Mathematics for Machine Learning. Learn about the prerequisite mathematics for applications in data ,"162,072","11,653"
Online Master of Computer Science,Arizona State University,,0,0.0
"Everyday Excel, Part 1",University of Colorado Boulder,"Offered by University of Colorado Boulder. ""Everyday Excel, Part 1"" is aimed at learners who are seeking to learn Excel from the ground up.  ","201,547",926
Practical Decision-Making Using No-code ML on AWS,Amazon Web Services,"Offered by Amazon Web Services. In this course, you will discover how to solve business problems with machine learning, no coding required. ","15,583",0.0
Work Smarter with Microsoft Excel,Microsoft,"Offered by Microsoft. This course is intended for learners with some experience using Microsoft Windows, who are seeking to build ","42,221",135
Excel Basics for Data Analysis,IBM Skills Network,Offered by IBM Skills Network. This course is designed to provide you with basic working knowledge for using Excel spreadsheets for Data ,"142,463",894
Machine Learning,DeepLearning.AI,Offered by DeepLearning.AI and Stanford University. #BreakIntoAI with Machine Learning Specialization. Master fundamental AI concepts and ,"91,497","5,559"
SQL for Data Science,"University of California, Davis","Offered by University of California, Davis. As data collection has increased exponentially, so has the need for people skilled at using and ","466,872",3678
Introduction to Machine Learning in Production,DeepLearning.AI,"Offered by DeepLearning.AI. In the first course of Machine Learning Engineering for Production Specialization, you will identify the various ","65,622",382
Introduction to Data Science in Python,University of Michigan,"Offered by University of Michigan. This course will introduce the learner to the basics of the python programming environment, including ","704,273",5857
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",DeepLearning.AI,"Offered by DeepLearning.AI. If you are a software developer who wants to build scalable AI-powered algorithms, you need to understand how to ","310,917",3719
Analyzing and Visualizing Data in Looker,Google Cloud,"Offered by Google Cloud. In this course, you learn how to do the kind of data exploration and analysis in Looker that would formerly be done ","12,873",43
Programming for Everybody (Getting Started with Python),University of Michigan,Offered by University of Michigan. This course aims to teach everyone the basics of programming computers using Python. We cover the basics ,"2,707,788",51461
Introduction to Probability and Data with R,Duke University,"Offered by Duke University. This course introduces you to sampling and exploring data, as well as basic probability theory and Bayes' rule. ","253,901",1281
MSc Applied Data Analytics,Queen Mary University of London,,0,0.0
BSc Computer Science,University of London,,0,0.0
Share Data Through the Art of Visualization,Google,Offered by Google. This is the sixth course in the Google Data Analytics Certificate. These courses will equip you with the skills needed to ,"221,223",972
MBA in Business Analytics,O.P. Jindal Global University (MBA BA),,0,0.0
Introduction to Data Science,IBM Skills Network,Offered by IBM Skills Network. Launch your career in data science. Gain foundational data science skills to prepare for a career or further ,"72,181","11,554"
Mathematics for Engineers,The Hong Kong University of Science and Technology,"Offered by The Hong Kong University of Science and Technology. Learn the Mathematics needed to become an Engineer. Study  matrix algebra, ","4,659",247
IBM Data Engineering,IBM Skills Network,"Offered by IBM Skills Network. Launch your new career in Data Engineering. Master SQL, RDBMS, ETL, Data Warehousing, NoSQL, Big Data and ","27,811","2,260"
IBM Data Analyst,IBM Skills Network,Offered by IBM Skills Network. Unlock your potential in data analytics. Build job-ready skills for an in-demand career as a data analyst. No ,"90,976","10,617"
Advanced Learning Algorithms,DeepLearning.AI,"In the second course of the Machine Learning Specialization, you will: • Build and train a neural network with TensorFlow to perform ","54,027",211
Introduction to Data Engineering,IBM Skills Network,"Offered by IBM Skills Network. This course introduces you to the core concepts, processes, and tools you need to know in order to get a ","59,222",296
Ask Questions to Make Data-Driven Decisions,Google,Offered by Google. This is the second course in the Google Data Analytics Certificate. These courses will equip you with the skills needed ,"483,010",3069
"Foundations: Data, Data, Everywhere",Google,Offered by Google. This is the first course in the Google Data Analytics Certificate. These courses will equip you with the skills you need ,"1,320,380",13827
